Step,Price,Predicted Signal,Step Return,Trade Status
337,72241.35,[0.12522782],0.0036693406,Trade open
338,72506.43,[0.13147312],0.004632475,Trade open
339,72576.01,[0.13238458],0.0036355995,Trade open
340,72503.99,[0.13043454],0.0018918787,Trade open
341,72378.02,[0.130152],-0.001264641,Trade open
342,72149.99,[0.1149471],-0.003562494,Trade open
343,71983.99,[0.10299903],-0.0025104648,Trade open
344,72059.99,[0.10487208],-0.00524879,Trade open
345,71862.17,[0.10400745],-0.0064965603,Trade open
346,71772.03,[0.10341014],-0.0038115506,Trade open
347,71966.0,[0.11113379],-0.0010387272,Trade open
348,72166.31,[0.12637463],0.002359279,Trade open
349,72411.79,[0.13090326],-0.0039222906,Trade open
350,71958.0,[0.11596718],-0.0024917559,Trade open
351,72061.34,[0.11870447],-0.0029602377,Trade open
352,72027.5,[0.11733355],-0.0018063365,Trade open
353,72110.86,[0.12663865],-0.005360503,Trade open
354,71854.1,[0.11596002],-0.0047982605,Trade open
355,71894.72,[0.11161815],-0.0030640562,Trade open
356,72020.0,[0.12451836],-0.0036904288,Trade closed
357,71974.75,[0.12764814],0.0,Trade initiated
358,71974.75,[0.12732702],-0.0016028841,Trade open
359,71859.38,[0.11857495],-0.0021221635,Trade open
360,71822.01,[0.11847074],0.004563015,Trade open
361,72303.17,[0.12986179],0.012259725,Trade open
362,72857.14,[0.14164764],0.004595253,Trade open
363,72305.49,[0.13322213],0.005743008,Trade open
364,72388.1,[0.12773935],0.0076801023,Trade open
365,72527.52,[0.1310408],0.0058721765,Trade open
366,72397.4,[0.12709565],0.009004786,Trade open
367,72622.87,[0.13051769],0.005140583,Trade open
368,72344.74,[0.12407015],0.0047301743,Trade open
369,72315.2,[0.1242484],0.0026570733,Trade open
370,72165.99,[0.1257724],0.004518837,Trade open
371,72299.99,[0.12792654],0.005491509,Trade open
372,72370.0,[0.1303849],0.0047411374,Trade open
373,72315.99,[0.12974398],0.008034176,Trade open
374,72553.01,[0.13053484],0.0056317495,Trade open
375,72380.09,[0.12841399],0.005265627,Trade open
376,72353.74,[0.12877285],0.004685671,Trade open
377,72312.0,[0.1290013],0.0041575995,Trade closed
378,72273.99,[0.12921527],0.0,Trade initiated
379,72273.99,[0.12777707],0.00013122805,Trade open
380,72283.48,[0.12752463],0.000110797984,Trade open
381,72282.0,[0.12822333],8.172027e-05,Trade open
382,72279.9,[0.12807593],-0.0008561171,Trade open
383,72212.12,[0.12023516],0.0013283867,Trade open
384,72370.0,[0.13039517],0.001981284,Trade open
385,72417.19,[0.13132218],-0.0006915956,Trade open
386,72224.01,[0.12203719],2.842914e-05,Trade open
387,72276.05,[0.12207986],0.0013284949,Trade open
388,72370.01,[0.13055256],0.00042492378,Trade open
389,72304.7,[0.13032153],-9.393507e-05,Trade open
390,72267.2,[0.12728472],0.0050541176,Trade open
391,72639.27,[0.13786474],0.00084444275,Trade open
392,72335.02,[0.12844086],-0.00066403125,Trade open
393,72226.0,[0.12244368],-0.0021583447,Trade open
394,72118.0,[0.11502911],-0.0022136897,Trade open
395,72114.0,[0.11500978],-0.004344578,Trade open
396,71959.99,[0.10876117],-0.013365695,Trade open
397,71308.0,[0.09796337],-0.017876308,Trade open
398,70982.0,[0.09766915],-0.02105832,Trade closed
399,70752.02,[0.09549936],0.0,Trade initiated
400,70752.02,[0.09689704],0.0016640425,Trade open
401,70869.76,[0.09597984],-0.0018660023,Trade open
402,70620.0,[0.09656815],-0.0029981474,Trade open
403,70539.9,[0.09815624],-0.0049248813,Trade open
404,70403.58,[0.09845061],-0.0014419862,Trade open
405,70650.0,[0.10381608],0.00047006164,Trade open
406,70785.28,[0.10870354],-0.005361044,Trade open
407,70372.72,[0.10340574],-0.0016727657,Trade open
408,70633.67,[0.10979564],-0.004886786,Trade open
409,70406.27,[0.10808785],-0.009327693,Trade open
410,70092.07,[0.10140588],-0.007890565,Trade open
411,70193.75,[0.10099694],-0.010251253,Trade open
412,70026.73,[0.10003021],-0.0062344726,Trade open
413,70310.92,[0.10873144],-0.0043763104,Trade open
414,70442.39,[0.12005823],-0.006501912,Trade open
415,70292.0,[0.11529325],-0.0038447443,Trade open
416,70480.0,[0.12290919],-0.001858052,Trade open
417,70620.56,[0.12578137],-0.006501802,Trade open
418,70292.01,[0.12036272],-0.0045797057,Trade open
419,70428.0,[0.12332163],-0.008173574,Trade closed
420,70173.73,[0.11865242],0.0,Trade initiated
421,70173.73,[0.11389194],-0.0018578891,Trade open
422,70043.35,[0.10694698],-0.010997261,Trade open
423,69402.01,[0.10112637],-0.011168265,Trade open
424,69390.01,[0.10097535],-0.0084623685,Trade open
425,69579.89,[0.10162771],-0.007520287,Trade open
426,69646.0,[0.10747271],-0.011453494,Trade open
427,69369.99,[0.10407776],-0.0096009495,Trade open
428,69499.99,[0.10860533],-0.008289806,Trade open
429,69592.0,[0.11329528],-0.007930987,Trade open
430,69617.18,[0.11478783],-0.008043431,Trade open
431,69609.29,[0.11537308],-0.012336904,Trade open
432,69308.0,[0.10811976],-0.013703045,Trade open
433,69212.13,[0.10429637],-0.013106312,Trade open
434,69254.01,[0.10216209],-0.012825646,Trade open
435,69273.7,[0.10627586],-0.010142351,Trade open
436,69462.0,[0.11815154],-0.011366433,Trade open
437,69376.1,[0.11560642],-0.010626863,Trade open
438,69428.0,[0.11777333],-0.009103523,Trade open
439,69534.9,[0.12392023],-0.002561166,Trade open
440,69994.0,[0.12894203],-0.0026231774,Trade closed
441,69989.65,[0.12681718],0.0,Trade initiated
442,69989.65,[0.13181315],0.0028339012,Trade open
443,70187.99,[0.1361586],0.00017658861,Trade open
444,70002.01,[0.13059177],0.0014909571,Trade open
445,70094.0,[0.13025594],0.005218182,Trade open
446,70354.87,[0.13257466],0.003319799,Trade open
447,70222.0,[0.12913795],0.017299544,Trade open
448,71200.44,[0.1383451],0.021664476,Trade open
449,71505.94,[0.14038669],0.018310186,Trade open
450,71271.17,[0.13636312],0.012635128,Trade open
451,70873.98,[0.13345283],-0.008599486,Trade open
452,69387.77,[0.11206043],0.0033484863,Trade open
453,70224.01,[0.12409645],-0.0009847438,Trade open
454,69920.73,[0.12119301],0.000798444,Trade open
455,70045.53,[0.11919927],-0.0057671475,Trade open
456,69586.01,[0.11250455],-0.0075688646,Trade open
457,69459.91,[0.10837425],-0.011973088,Trade open
458,69151.66,[0.10612763],-0.013368495,Trade open
459,69053.99,[0.1061121],-0.010310788,Trade open
460,69268.0,[0.11118049],-0.008296874,Trade open
461,69408.95,[0.11467637],-0.010582927,Trade closed
462,69248.95,[0.12011392],0.0,Trade initiated
463,69248.95,[0.11328007],-0.0041653384,Trade open
