Action,Entry Step,Exit Step,Entry Price,Exit Price,ATR,TP Mult,SL Mult,Trade Return (%),Trade Type
0.267,1940,1952,170.800,169.749,1.160,2.000,1.000,-0.615,SL hit
0.279,1953,1960,169.530,171.887,1.034,2.000,1.000,1.390,TP hit
0.221,1961,1967,172.050,174.171,1.290,2.000,1.000,1.233,TP hit
0.236,1968,1980,174.890,177.586,0.946,2.000,1.000,1.541,TP hit
0.236,1981,1989,177.750,176.880,0.869,2.000,1.000,-0.489,SL hit
0.236,1990,2002,176.820,175.919,1.410,2.000,1.000,-0.509,SL hit
0.225,2003,2005,175.800,174.388,1.342,2.000,1.000,-0.803,SL hit
0.250,2006,2020,173.980,172.696,1.208,2.000,1.000,-0.738,SL hit
0.264,2021,2033,172.160,174.517,1.084,2.000,1.000,1.369,TP hit
0.225,2034,2044,175.460,177.560,1.300,2.000,1.000,1.197,TP hit
0.251,2045,2046,178.700,177.382,1.334,2.000,1.000,-0.737,SL hit
0.217,2047,2069,176.870,175.477,1.056,2.000,1.000,-0.788,SL hit
0.240,2070,2072,175.470,174.452,0.931,2.000,1.000,-0.580,SL hit
0.261,2073,2084,174.430,173.497,0.797,2.000,1.000,-0.535,SL hit
0.248,2085,2094,173.230,172.410,1.171,2.000,1.000,-0.473,SL hit
0.267,2095,2095,172.070,170.886,1.184,2.000,1.000,-0.688,SL hit
0.287,2096,2115,170.180,172.524,1.087,2.000,1.000,1.378,TP hit
0.227,2116,2123,173.630,172.543,1.241,2.000,1.000,-0.626,SL hit
0.218,2124,2142,171.940,170.766,1.158,2.000,1.000,-0.683,SL hit
0.278,2143,2151,169.490,168.317,1.220,2.000,1.000,-0.692,SL hit
0.253,2152,2152,167.880,166.729,1.151,2.000,1.000,-0.686,SL hit
0.276,2153,2163,166.720,165.562,1.485,2.000,1.000,-0.694,SL hit
0.313,2164,2166,161.850,164.813,1.467,2.000,1.000,1.831,TP hit
0.251,2167,2177,164.840,163.388,1.164,2.000,1.000,-0.881,SL hit
0.256,2178,2189,162.680,161.506,1.532,2.000,1.000,-0.721,SL hit
0.275,2190,2194,160.890,159.271,1.789,2.000,1.000,-1.006,SL hit
0.271,2195,2207,159.250,157.559,1.480,2.000,1.000,-1.062,SL hit
0.263,2208,2213,156.750,155.093,1.902,2.000,1.000,-1.057,SL hit
0.286,2214,2248,153.300,157.096,0.896,2.000,1.000,2.476,TP hit
0.228,2249,2255,157.770,156.900,0.744,2.000,1.000,-0.551,SL hit
0.222,2256,2258,156.870,156.051,0.780,2.000,1.000,-0.522,SL hit
0.222,2259,2262,155.810,154.960,0.917,2.000,1.000,-0.546,SL hit
0.242,2263,2264,154.950,154.055,0.918,2.000,1.000,-0.578,SL hit
0.256,2265,2268,153.760,155.527,0.865,2.000,1.000,1.149,TP hit
0.217,2269,2272,155.560,154.685,0.959,2.000,1.000,-0.562,SL hit
0.225,2273,2274,154.680,153.761,0.921,2.000,1.000,-0.594,SL hit
0.254,2275,2276,153.520,152.584,0.939,2.000,1.000,-0.610,SL hit
0.281,2277,2288,151.860,153.789,1.061,2.000,1.000,1.270,TP hit
0.218,2289,2301,154.340,156.546,0.945,2.000,1.000,1.429,TP hit
0.230,2302,2312,156.910,155.956,1.036,2.000,1.000,-0.608,SL hit
0.221,2313,2323,155.930,154.882,1.121,2.000,1.000,-0.672,SL hit
0.220,2324,2325,154.860,153.754,1.091,2.000,1.000,-0.714,SL hit
0.250,2326,2333,153.540,152.472,1.305,2.000,1.000,-0.695,SL hit
0.241,2334,2349,152.240,154.880,1.256,2.000,1.000,1.734,TP hit
0.218,2350,2355,155.430,157.977,1.320,2.000,1.000,1.639,TP hit
0.243,2356,2357,158.880,161.604,1.352,2.000,1.000,1.715,TP hit
0.257,2358,2359,161.950,160.621,1.296,2.000,1.000,-0.820,SL hit
0.230,2360,2363,159.850,158.534,1.249,2.000,1.000,-0.823,SL hit
0.234,2364,2375,158.460,160.880,0.914,2.000,1.000,1.527,TP hit
0.225,2376,2383,161.230,163.127,1.231,2.000,1.000,1.177,TP hit
0.239,2384,2386,163.190,161.943,1.273,2.000,1.000,-0.764,SL hit
0.230,2387,2394,161.110,159.836,1.497,2.000,1.000,-0.790,SL hit
0.256,2395,2397,157.250,155.789,1.399,2.000,1.000,-0.929,SL hit
0.273,2398,2448,154.820,153.398,0.873,2.000,1.000,-0.919,SL hit
0.240,2449,2463,153.210,152.319,0.811,2.000,1.000,-0.582,SL hit
0.241,2464,2475,152.150,153.717,1.377,2.000,1.000,1.030,TP hit
0.220,2476,2477,153.930,152.557,1.485,2.000,1.000,-0.892,SL hit
0.239,2478,2483,150.370,148.848,1.884,2.000,1.000,-1.012,SL hit
0.260,2484,2488,148.650,146.749,1.954,2.000,1.000,-1.279,SL hit
0.280,2489,2491,146.320,144.369,1.878,2.000,1.000,-1.333,SL hit
0.305,2492,2501,141.820,145.503,0.910,2.000,1.000,2.597,TP hit
0.211,2502,2507,145.530,147.261,0.857,2.000,1.000,1.190,TP hit
0.214,2508,2522,147.570,149.300,1.071,2.000,1.000,1.172,TP hit
0.249,2523,2534,150.410,149.271,0.978,2.000,1.000,-0.757,SL hit
0.223,2535,2545,149.020,148.094,0.781,2.000,1.000,-0.622,SL hit
0.240,2546,2553,147.830,149.374,0.904,2.000,1.000,1.045,TP hit
0.215,2554,2559,149.460,151.447,0.931,2.000,1.000,1.330,TP hit
